,player_id,known_as,nationality
0,,Saad Al Sheeb,Qatar
1,,Yousef Hassan,Qatar
2,,Meshaal Barsham,Qatar
3,,Salah Zakaria,Qatar
4,171412.0,Abdelkarim Hassan,Qatar
5,,Mohammed Waad,Qatar
6,,Tarek Salman,Qatar
7,556713.0,Homam Ahmed,Qatar
8,,Bassam Al Rawi,Qatar
9,,Boualem Khoukhi,Qatar
10,,Ismaeel Mohammad,Qatar
11,,Ahmed Fadel,Qatar
12,,Mohammed Emad Aiash,Qatar
13,,Jassem Gaber Abdulsallam,Qatar
14,,Ro Ro,Qatar
15,,Abdulaziz Hatem,Qatar
16,,Hazem Shehata,Qatar
17,,Ali Assadalla,Qatar
18,,Hassan Al Haydos,Qatar
19,,Karim Boudiaf,Qatar
20,,Musab Khoder,Qatar
21,,Mostafa Tarek,Qatar
22,,Naif Al Hadhrami,Qatar
23,,Abdelrahman Moustafa,Qatar
24,,Yusuf Abdurisag Yusuf,Qatar
25,,Osamah Al Tairi,Qatar
26,,Ahmed Alaaeldin,Qatar
27,,Mohammed Muntari,Qatar
28,336646.0,Akram Afif,Qatar
29,,Khalid Muneer Mazeed,Qatar
30,,Almoez Ali,Qatar
31,,Alexander Dominguez,Ecuador
32,,Hernan Galindez,Ecuador
33,,Moises Ramirez,Ecuador
34,,Gonzalo Valle,Ecuador
35,,Byron Castillo,Ecuador
36,450241.0,Angelo Preciado,Ecuador
37,,Luis Leon,Ecuador
38,,Xavier Arreaga,Ecuador
39,,Piedro Hincapie,Ecuador
40,349599.0,Pervis Estupinan,Ecuador
41,425567.0,Diego Palacios,Ecuador
42,491616.0,Jackson Porozo,Ecuador
43,661171.0,William Pacho,Ecuador
44,189475.0,Carlos Gruezo,Ecuador
45,,Jhegson Mendez,Ecuador
46,687626.0,Moises Caicedo,Ecuador
47,,Patrickson Delgado,Ecuador
48,,Jose Cifuentes,Ecuador
49,,Alan Franco,Ecuador
50,592735.0,Gonzalo Plata,Ecuador
51,568005.0,Jeremy Sarmiento,Ecuador
52,,Romario Ibarra,Ecuador
53,,Nilson Angulo,Ecuador
54,,Anthony Valencia,Ecuador
55,,Michael Estrado,Ecuador
56,,Djorkaeff Reasco,Ecuador
57,139503.0,Enner Valencia,Ecuador
58,250870.0,Seny Dieng,Senegal
59,442531.0,Edouard Mendy,Senegal
60,163568.0,Alfred Gomis,Senegal
61,,Mory Diaw,Senegal
62,,Noah Fadiga,Senegal
63,,Formose Mendy,Senegal
64,93128.0,Kalidou Koulibaly,Senegal
65,,Pape Cisse,Senegal
66,,Fode Ballo,Senegal
67,,Ismail Jakobs,Senegal
68,,Moussa Niakhate,Senegal
69,229005.0,Abdou Diallo,Senegal
70,126665.0,Idrissa Gueye,Senegal
71,111051.0,Nampalys Mendy,Senegal
72,66934.0,Cheikhou Kouyate,Senegal
73,525578.0,Pathe Ciss,Senegal
74,,Pape Sarr,Senegal
75,,Iliman Ndiaye,Senegal
76,,Moustapha Name,Senegal
77,364237.0,Mamadou Loum,Senegal
78,485963.0,Pape Gueye,Senegal
79,626913.0,Boulaye Dia,Senegal
80,200512.0,Sadio Mane,Senegal
81,490426.0,Krepin Diatta,Senegal
82,410225.0,Ismaila Sarr,Senegal
83,,Bamba Dieng,Senegal
84,776890.0,Nicolas Jackson,Senegal
85,551752.0,Demba Seck,Senegal
86,,Justin Bijlow,Nederland
87,,Jasper Cillessen,Nederland
88,,Mark Flekken,Nederland
89,,Andries Noppert ,Nederland
90,,Remko Pasveer,Nederland
91,,Nathan Ake,Nederland
92,,Mitchel Bakker,Nederland
93,,Daley Blind,Nederland
94,,Sven Botman,Nederland
95,,Matthijs de Ligt,Nederland
96,,Stefan de Vrij,Nederland
97,,Denzel Dumfries,Nederland
