,date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,country,neutral_location,shoot_out,home_team_result,year,stage,win_conditions,worldcup_id
385,1994-06-17,Germany,Bolivia,1.0,43.0,1.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group C, ,FIFAWorldCup1994
386,1994-06-17,Spain,Korea Republic,5.0,37.0,2.0,2.0,FIFA World Cup,USA,True,No,Draw,1994,Group C, ,FIFAWorldCup1994
387,1994-06-18,Colombia,Romania,17.0,7.0,1.0,3.0,FIFA World Cup,USA,True,No,Lose,1994,Group A, ,FIFAWorldCup1994
388,1994-06-18,Italy,Republic of Ireland,4.0,14.0,0.0,1.0,FIFA World Cup,USA,True,No,Lose,1994,,,
389,1994-06-18,USA,Switzerland,23.0,12.0,1.0,1.0,FIFA World Cup,USA,False,No,Draw,1994,Group A, ,FIFAWorldCup1994
390,1994-06-19,Belgium,Morocco,27.0,28.0,1.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group F, ,FIFAWorldCup1994
391,1994-06-19,Cameroon,Sweden,24.0,10.0,2.0,2.0,FIFA World Cup,USA,True,No,Draw,1994,Group B, ,FIFAWorldCup1994
392,1994-06-19,Norway,Mexico,6.0,16.0,1.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group E, ,FIFAWorldCup1994
393,1994-06-20,Brazil,Russia,3.0,19.0,2.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group B, ,FIFAWorldCup1994
394,1994-06-20,Netherlands,Saudi Arabia,2.0,34.0,2.0,1.0,FIFA World Cup,USA,True,No,Win,1994,Group F, ,FIFAWorldCup1994
395,1994-06-21,Argentina,Greece,8.0,31.0,4.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group D, ,FIFAWorldCup1994
396,1994-06-21,Germany,Spain,1.0,5.0,1.0,1.0,FIFA World Cup,USA,True,No,Draw,1994,Group C, ,FIFAWorldCup1994
397,1994-06-21,Nigeria,Bulgaria,11.0,29.0,3.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group D, ,FIFAWorldCup1994
398,1994-06-22,Romania,Switzerland,7.0,12.0,1.0,4.0,FIFA World Cup,USA,True,No,Lose,1994,Group A, ,FIFAWorldCup1994
399,1994-06-22,USA,Colombia,23.0,17.0,2.0,1.0,FIFA World Cup,USA,False,No,Win,1994,Group A, ,FIFAWorldCup1994
400,1994-06-23,Italy,Norway,4.0,6.0,1.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group E, ,FIFAWorldCup1994
401,1994-06-23,Korea Republic,Bolivia,37.0,43.0,0.0,0.0,FIFA World Cup,USA,True,No,Draw,1994,Group C, ,FIFAWorldCup1994
402,1994-06-24,Brazil,Cameroon,3.0,24.0,3.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group B, ,FIFAWorldCup1994
403,1994-06-24,Mexico,Republic of Ireland,16.0,14.0,2.0,1.0,FIFA World Cup,USA,True,No,Win,1994,,,
404,1994-06-24,Sweden,Russia,10.0,19.0,3.0,1.0,FIFA World Cup,USA,True,No,Win,1994,Group B, ,FIFAWorldCup1994
405,1994-06-25,Argentina,Nigeria,8.0,11.0,2.0,1.0,FIFA World Cup,USA,True,No,Win,1994,Group D, ,FIFAWorldCup1994
406,1994-06-25,Belgium,Netherlands,27.0,2.0,1.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group F, ,FIFAWorldCup1994
407,1994-06-25,Saudi Arabia,Morocco,34.0,28.0,2.0,1.0,FIFA World Cup,USA,True,No,Win,1994,Group F, ,FIFAWorldCup1994
408,1994-06-26,Bulgaria,Greece,29.0,31.0,4.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Group D, ,FIFAWorldCup1994
410,1994-06-26,Switzerland,Colombia,12.0,17.0,0.0,2.0,FIFA World Cup,USA,True,No,Lose,1994,Group A, ,FIFAWorldCup1994
411,1994-06-26,USA,Romania,23.0,7.0,0.0,1.0,FIFA World Cup,USA,False,No,Lose,1994,Group A, ,FIFAWorldCup1994
412,1994-06-27,Bolivia,Spain,43.0,5.0,1.0,3.0,FIFA World Cup,USA,True,No,Lose,1994,Group C, ,FIFAWorldCup1994
413,1994-06-27,Germany,Korea Republic,1.0,37.0,3.0,2.0,FIFA World Cup,USA,True,No,Win,1994,Group C, ,FIFAWorldCup1994
414,1994-06-28,Brazil,Sweden,3.0,10.0,1.0,1.0,FIFA World Cup,USA,True,No,Draw,1994,Group B, ,FIFAWorldCup1994
415,1994-06-28,Republic of Ireland,Norway,14.0,6.0,0.0,0.0,FIFA World Cup,USA,True,No,Draw,1994,,,
416,1994-06-28,Italy,Mexico,4.0,16.0,1.0,1.0,FIFA World Cup,USA,True,No,Draw,1994,Group E, ,FIFAWorldCup1994
417,1994-06-28,Russia,Cameroon,19.0,24.0,6.0,1.0,FIFA World Cup,USA,True,No,Win,1994,Group B, ,FIFAWorldCup1994
418,1994-06-29,Belgium,Saudi Arabia,27.0,34.0,0.0,1.0,FIFA World Cup,USA,True,No,Lose,1994,Group F, ,FIFAWorldCup1994
419,1994-06-29,Morocco,Netherlands,28.0,2.0,1.0,2.0,FIFA World Cup,USA,True,No,Lose,1994,Group F, ,FIFAWorldCup1994
420,1994-06-30,Argentina,Bulgaria,8.0,29.0,0.0,2.0,FIFA World Cup,USA,True,No,Lose,1994,Group D, ,FIFAWorldCup1994
421,1994-06-30,Greece,Nigeria,31.0,11.0,0.0,2.0,FIFA World Cup,USA,True,No,Lose,1994,Group D, ,FIFAWorldCup1994
423,1994-07-02,Germany,Belgium,1.0,27.0,3.0,2.0,FIFA World Cup,USA,True,No,Win,1994,Round of 16, ,FIFAWorldCup1994
424,1994-07-02,Spain,Switzerland,5.0,12.0,3.0,0.0,FIFA World Cup,USA,True,No,Win,1994,Round of 16, ,FIFAWorldCup1994
425,1994-07-03,Romania,Argentina,7.0,8.0,3.0,2.0,FIFA World Cup,USA,True,No,Win,1994,Round of 16, ,FIFAWorldCup1994
426,1994-07-03,Saudi Arabia,Sweden,34.0,10.0,1.0,3.0,FIFA World Cup,USA,True,No,Lose,1994,Round of 16, ,FIFAWorldCup1994
427,1994-07-04,Netherlands,Republic of Ireland,2.0,14.0,2.0,0.0,FIFA World Cup,USA,True,No,Win,1994,,,
428,1994-07-04,USA,Brazil,23.0,3.0,0.0,1.0,FIFA World Cup,USA,False,No,Lose,1994,,,
429,1994-07-05,Mexico,Bulgaria,16.0,29.0,1.0,1.0,FIFA World Cup,USA,True,Yes,Lose,1994,Round of 16,Bulgaria win on penalties (1 - 3) ,FIFAWorldCup1994
430,1994-07-05,Nigeria,Italy,11.0,4.0,1.0,2.0,FIFA World Cup,USA,True,No,Lose,1994,Round of 16,Italy win after extra time ,FIFAWorldCup1994
435,1994-07-09,Italy,Spain,4.0,5.0,2.0,1.0,FIFA World Cup,USA,True,No,Win,1994,Quarter-finals, ,FIFAWorldCup1994
436,1994-07-09,Netherlands,Brazil,2.0,3.0,2.0,3.0,FIFA World Cup,USA,True,No,Lose,1994,Quarter-finals, ,FIFAWorldCup1994
437,1994-07-10,Bulgaria,Germany,29.0,1.0,2.0,1.0,FIFA World Cup,USA,True,No,Win,1994,Quarter-finals, ,FIFAWorldCup1994
438,1994-07-10,Romania,Sweden,7.0,10.0,2.0,2.0,FIFA World Cup,USA,True,Yes,Lose,1994,Quarter-finals,Sweden win on penalties (4 - 5) ,FIFAWorldCup1994
