,year,country,winner,runners_up,third,fourth,worldcup_id
0,1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,FIFAWorldCup1930
1,1934,Italy,Italy,Czechoslovakia,Germany,Austria,FIFAWorldCup1934
2,1938,France,Italy,Hungary,Brazil,Sweden,FIFAWorldCup1938
3,1950,Brazil,Uruguay,Brazil,Sweden,Spain,FIFAWorldCup1950
4,1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,FIFAWorldCup1954
5,1958,Sweden,Brazil,Sweden,France,Germany FR,FIFAWorldCup1958
6,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,FIFAWorldCup1962
7,1966,England,England,Germany FR,Portugal,Soviet Union,FIFAWorldCup1966
8,1970,Mexico,Brazil,Italy,Germany FR,Uruguay,FIFAWorldCup1970
9,1974,Germany,Germany FR,Netherlands,Poland,Brazil,FIFAWorldCup1974
10,1978,Argentina,Argentina,Netherlands,Brazil,Italy,FIFAWorldCup1978
11,1982,Spain,Italy,Germany FR,Poland,France,FIFAWorldCup1982
12,1986,Mexico,Argentina,Germany FR,France,Belgium,FIFAWorldCup1986
13,1990,Italy,Germany FR,Argentina,Italy,England,FIFAWorldCup1990
14,1994,USA,Brazil,Italy,Sweden,Bulgaria,FIFAWorldCup1994
15,1998,France,France,Brazil,Croatia,Netherlands,FIFAWorldCup1998
16,2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,FIFAWorldCup2002
17,2006,Germany,Italy,France,Germany,Portugal,FIFAWorldCup2006
18,2010,South Africa,Spain,Netherlands,Germany,Uruguay,FIFAWorldCup2010
19,2014,Brazil,Germany,Argentina,Netherlands,Brazil,FIFAWorldCup2014
