player name,nationality
Saad Al-Sheeb,Qatar
Yousef Hassan,Qatar
Meshaal Barsham,Qatar
Salah Zakaria,Qatar
Abdelkarim Hassan,Qatar
Mohammed Waad,Qatar
Tarek Salman,Qatar
Homam Ahmed,Qatar
Bassam Al-Rawi,Qatar
Boualem Khoukhi,Qatar
Ismaeel Mohammad,Qatar
Ahmed Fadel,Qatar
Mohammed Emad Aiash,Qatar
Jassem Gaber Abdulsallam,Qatar
Ró-Ró,Qatar
Abdulaziz Hatem,Qatar
Hazem Shehata,Qatar
Ali Assadalla,Qatar
Hassan Al-Haydos,Qatar
Karim Boudiaf,Qatar
Musab Khoder,Qatar
Mostafa Tarek,Qatar
Naif Al-Hadhrami,Qatar
Abdelrahman Moustafa,Qatar
Yusuf Abdurisag Yusuf,Qatar
Osamah Al Tairi,Qatar
Ahmed Alaaeldin,Qatar
Mohammed Muntari,Qatar
Akram Afif,Qatar
Khalid Muneer Mazeed,Qatar
Almoez Ali,Qatar
Alexander Dominguez,Ecuador
Hernan Galindez,Ecuador
Moises Ramirez,Ecuador
Gonzalo Valle,Ecuador
Byron Castillo,Ecuador
Angelo Preciado,Ecuador
Luis Leon,Ecuador
Xavier Arreaga,Ecuador
Piedro Hincapie,Ecuador
Pervis Estupinan,Ecuador
Diego Palacios,Ecuador
Jackson Porozo,Ecuador
William Pacho,Ecuador
Carlos Gruezo,Ecuador
Jhegson Mendez,Ecuador
Moises Caicedo,Ecuador
Patrickson Delgado,Ecuador
Jose Cifuentes,Ecuador
Alan Franco,Ecuador
Gonzalo Plata,Ecuador
Jeremy Sarmiento,Ecuador
Romario Ibarra,Ecuador
Nilson Angulo,Ecuador
Anthony Valencia,Ecuador
Michael Estrado,Ecuador
Djorkaeff Reasco,Ecuador
Enner Valencia,Ecuador
Seny Dieng,Senegal
Edouard Mendy,Senegal
Alfred Gomis,Senegal
Mory Diaw,Senegal
Noah Fadiga,Senegal
Formose Mendy,Senegal
Kalidou Koulibaly,Senegal
Pape Cisse,Senegal
Fode Ballo,Senegal
Ismail Jakobs,Senegal
Moussa Niakhaté,Senegal
Abdou Diallo,Senegal
Idrissa Gueye,Senegal
Nampalys Mendy,Senegal
Cheikhou Kouyate,Senegal
Pathe Ciss,Senegal
Pape Sarr,Senegal
Iliman Ndiaye,Senegal
Moustapha Name,Senegal
Mamadou Loum,Senegal
Pape Gueye,Senegal
Boulaye Dia,Senegal
Sadio Mane,Senegal
Krepin Diatta,Senegal
Ismaila Sarr,Senegal
Bamba Dieng,Senegal
Nicolas Jackson,Senegal
Demba Seck,Senegal
Justin Bijlow,Nederland
Jasper Cillessen,Nederland
Mark Flekken,Nederland
Andries Noppert ,Nederland
Remko Pasveer,Nederland
Nathan Ake,Nederland
Mitchel Bakker,Nederland
Daley Blind,Nederland
Sven Botman,Nederland
Matthijs de Ligt,Nederland
Stefan de Vrij,Nederland
Denzel Dumfries,Nederland
Jeremie Frimpong,Nederland
Tyrell Malacia,Nederland
Devyne Rensch,Nederland
Pascal Struijk,Nederland
Jurrien Timber,Nederland
Micky van de Ven,Nederland
Virgil van Dijk,Nederland
Steven Berghuis,Nederland
Jordy Clasie,Nederland
Frenkie de Jong,Nederland
Marten de Roon,Nederland
Ryan Gravenberch,Nederland
Davy Klaassen,Nederland
Teun Koopmeiners,Nederland
Xavi Simons,Nederland
Kenneth Taylor,Nederland
Guus Til,Nederland
Steven Bergwijn,Nederland
Brian Brobbey,Nederland
Luuk de Jong,Nederland
Arnaut Danjuma,Nederland
Memphis Depay,Nederland
Cody Gakpo,Nederland
Vincent Janssen,Nederland
Noa Lang,Nederland
Donyell Malen,Nederland
Wout Weghorst,Nederland
Jordan Pickford,England
Aaron Ramsdale,England
Nick Pope,England
Kieran Trippier,England
Trent Alexander-Arnold,England
Kyle Walker,England
Ben White,England
Harry Maguire,England
John Stones,England
Eric Dier,England
Conor Coady,England
Luke Shaw,England
Declan Rice,England
Jude Bellingham,England
Kalvin Phillips,England
Jordan Henderson,England
Conor Gallagher,England
Mason Mount,England
Harry Kane,England
Callum Wilson,England
Marcus Rashford,England
Raheem Sterling,England
Bukayo Saka,England
Phil Foden,England
Jack Grealish,England
James Maddison,England
Alireza Beiranvand,Iran
Payam Niazmand,Iran
Amir Abedzadeh,Iran
Hossein Hosseini,Iran
Sadegh Moharrami,Iran
Shoja Khalilzadeh,Iran
Milad Mohammadi Keshmarzi,Iran
Morteza Pouraliganji,Iran
Mohammad Hossein Kanani Zadegan,Iran
Saleh Hardani,Iran
Majid Hosseini,Iran
Ramin Rezaeian,Iran
Abolfazl Jalali,Iran
Seyed Mehdi Hosseini,Iran
Ehsan Hajsafi,Iran
Saeid Ezatolahi,Iran
Alireza Jahanbakhsh,Iran
Saman Ghoddos,Iran
Ali Gholizadeh,Iran
Milad Sarlak,Iran
Sardar Azmoun,Iran
Omid Noorafkan,Iran
Ahmad Noorollahi,Iran
Omid Ebrahimi,Iran
Mehdi Taremi,Iran
Karim Ansarifard,Iran
Vahid Amiri,Iran
Mehdi Torabi,Iran
Matt Turner,United States
Sean Johnson,United States
Ethan Horvath,United States
Cameron Carter Vickers,United States
Sergino Dest,United States
Aaron Long,United States
Shaq Moore,United States
Tim Ream,United States
Antonee Robinson,United States
Joe Scally,United States
DeAndre Yedlin,United States
Walker Zimmerman,United States
Brenden Aaronson,United States
Kellyn Acosta,United States
Tyler Adams,United States
Luca de la Torre,United States
Weston McKennie,United States
Yunus Musah,United States
Cristian Roldan,United States
Jesus Ferreira,United States
Jordan Morris,United States
Christian Pulisic,United States
Giovanni Reyna,United States
Joshua Sargent,United States
Timothy Weah,United States
Haji Wright,United States
Wayne Hennessey,Wales
Danny Ward,Wales
Adam Davies,Wales
Ben Davies,Wales
Ben Cabango,Wales
Tom Lockyer,Wales
Joe Rodon,Wales
Chris Mepham,Wales
Ethan Ampadu,Wales
Chris Gunter,Wales
Neco Williams,Wales
Connor Roberts,Wales
Sorba Thomas,Wales
Joe Allen,Wales
Matthew Smith,Wales
Dylan Levitt,Wales
Harry Wilson,Wales
Joe Morrell,Wales
Jonny Williams,Wales
Aaron Ramsey,Wales
Rubin Colwill,Wales
Gareth Bale,Wales
Kieffer Moore,Wales
Mark Harris,Wales
Brennan Johnson,Wales
Daniel James,Wales
Emiliano Martinez,Argentina
Geronimo Rulli,Argentina
Franco Armani,Argentina
Juan Musso,Argentina
Agustin Marchesin,Argentina
Agustin Rossi,Argentina
Nahuel Molina,Argentina
Gonzalo Montiel,Argentina
Cristian Romero,Argentina
German Pezzella,Argentina
Nicolas Otamendi,Argentina
Lisandro Martinez,Argentina
Marcos Acuna,Argentina
Nicolas Tagliafico,Argentina
Juan Foyth,Argentina
Facundo Medina,Argentina
Nehuen Perez,Argentina
Lucas Martinez Quarta,Argentina
Marcos Senesi,Argentina
Walter Kannemann,Argentina
Rodrigo De Paul,Argentina
Leandro Paredes,Argentina
Giovani Lo Celso,Argentina
Alexis Mac Allister,Argentina
Guido Rodriguez,Argentina
Alejandro Gomez,Argentina
Enzo Fernandez,Argentina
Exequiel Palacios,Argentina
Thiago Almada,Argentina
Nicolas Dominguez,Argentina
Lucas Ocampos,Argentina
Lionel Messi,Argentina
Maximiliano Meza,Argentina
Lautaro Martinez,Argentina
Angel Di Maria,Argentina
Julian Alvarez,Argentina
Paulo Dybala,Argentina
Nicolas Gonzalez,Argentina
Angel Correa,Argentina
Joaquin Correa,Argentina
Giovanni Simeone,Argentina
Emiliano Buendia,Argentina
Lucas Alario,Argentina
Alejandro Garnacho,Argentina
Guillermo Ochoa,Mexico
Alfredo Talavera,Mexico
Rodolfo Cota,Mexico
Cesar Montes,Mexico
Nestor Araujo,Mexico
Jesus Angulo,Mexico
Hector Moreno,Mexico
Johan Vasquez,Mexico
Gerardo Arteaga,Mexico
Jesus Gallardo,Mexico
Jorge Sanchez,Mexico
Kevin Alvarez,Mexico
Edson Alvarez,Mexico
Hector Herrera,Mexico
Andres Guardado,Mexico
Erick Sanchez,Mexico
Carlos Rodriguez,Mexico
Luis Gerardo Chavez,Mexico
Luis Romo,Mexico
Erick Gutiérrez,Mexico
Orbelín Pineda,Mexico
Alexis Vega,Mexico
Diego Lainez,Mexico
Roberto Alvarado,Mexico
Uriel Antuna,Mexico
Rogelio Funes Mori,Mexico
